trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
138,False,"{'a': 0.7, 'e': 0.002704861898384556}",20,14,12.58526181018779,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.7, 'e': 0.0026815274044920748}",25,2,40.65068886216068,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.7, 'e': 0.00265855933276924}",25,5,15.607748885460548,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
141,False,"{'a': 0.7, 'e': 0.002635949373175138}",25,16,17.568420822559805,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.7, 'e': 0.0026136894612847597}",20,8,19.974045454965502,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.7, 'e': 0.0025917717693637963}",20,9,24.20274856364378,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.7, 'e': 0.0025701886978274544}",20,12,13.857725738858615,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.7, 'e': 0.0025489328670642184}",20,11,15.132015439062576,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.7, 'e': 0.002527997109606589}",20,11,13.729614555353901,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.7, 'e': 0.0025073744626318067}",20,5,26.274308408405737,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.7, 'e': 0.0024870581607765187}",30,11,25.07759060398972,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.7, 'e': 0.002467041629250236}",20,10,16.868226086967454,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.7, 'e': 0.0024473184772332364}",20,0,27.761134000584576,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
151,False,"{'a': 0.7, 'e': 0.0024278824915453714}",25,14,14.86847926377044,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.7, 'e': 0.002408727630572946}",25,13,20.002474628938042,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.7, 'e': 0.002389848018441536}",20,0,31.362241331372367,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
154,False,"{'a': 0.7, 'e': 0.0023712379394232527}",25,10,24.85947211678336,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.7, 'e': 0.002352891832567574}",20,0,27.595781501589627,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
156,False,"{'a': 0.7, 'e': 0.0023348042865454256}",20,9,15.57815523697169,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.7, 'e': 0.002316970034696742}",20,16,8.240304347835325,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.7, 'e': 0.002299383950272237}",20,0,28.01661128826322,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.7, 'e': 0.0022820410418606055}",25,9,29.221409416647354,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.7, 'e': 0.002264936448992799}",25,14,20.552236586458484,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.7, 'e': 0.0022480654379154804}",20,0,29.2309080570558,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
162,False,"{'a': 0.7, 'e': 0.0022314233975261294}",20,8,17.080254792505055,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.7, 'e': 0.0022150058354626725}",25,11,23.49717002675586,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.7, 'e': 0.0021988083743408487}",30,6,46.65264468859185,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.7, 'e': 0.002182826748132877}",25,6,24.56088450488084,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.7, 'e': 0.002167056798681292}",30,24,10.334722215011586,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.7, 'e': 0.002151494472342134}",25,0,32.565947735398666,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
168,False,"{'a': 0.7, 'e': 0.0021361358167519395}",30,9,38.10767771395454,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.7, 'e': 0.002120976977713276}",25,12,20.652828528664433,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.7, 'e': 0.0021060141961937897}",25,0,32.923615092461084,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
171,False,"{'a': 0.7, 'e': 0.0020912438054340016}",20,10,20.28052690263103,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.7, 'e': 0.00207666222815929}",30,17,22.263877369519694,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.7, 'e': 0.002062265973891737}",25,11,25.757945747709226,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.7, 'e': 0.002048051636357704}",20,10,16.924616287236574,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.7, 'e': 0.0020340158909871965}",25,16,17.028036823612524,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
